sn,responses,label
1330,CCTV is required . Light facility in lanes is required as well as in toilets.,-1
1331,CCTV is required . Rats and mosquitoes are too much and no cleanliness workers work for it . Dranage systems are open somewhere so rats and mosquitoes come from there .,-1
1332,Mosquitoes are in large number and no action is taken against it . CCTV is required . Passages are never clean . People keep their things outside leading to less space in lanes . Lights are not their in toilets,-1
1333,Rat bite is problem due to large number of rats and no lights in lanes . Mosquitoes are too much in number. no lights in toilets . CCTV is a need,-1
1334,Toilets are never clean leading major problems for elderly females . Dranage problems leading to mosquitoes and rats . CCTV is required as robbery is increasing day by day . Lights facilities should be there in lanes and in toilets .,-1
1335,There is a open gutter behind the area,-1
1336,The worker responsible for mosquitoes Haven't been to the place from 2 to 3 months,-1
1337,Rats are are in seemingly moderate number . Mosquitoes are too much .,-1
1338,Badrats,-1
1339,Lights in the lanes are required . Mosquitoes are too much . Lights in the toilet is required . Garbage worker isn't there . Toilets aren't clean,-1
1340,Gutter,-1
1341,The toilet cleaners ask for commission. No lights in toilets.,-1
1342,Gutter stinks,-1
1343,Lights aren't there in the lanes . Mosquitoes worker isn't here since 2 or 3 months,-1
1344,Garbage collection is not proper and everywhere.,-1
1345,No lights in passage. No lights in toilets.,-1
1346,Toilets aren't clean .,-1
1347,No lights in the pasages.,-1
1348,Lights aren't there at night so light facility in the passage,-1
1349,No lights in pasages. No lights in toilets.,-1
1350,Garbage tank is always full,-1
1351,No garbage collector they have to throw the garbage out.,-1
1352,Garbage bin overflows,-1
1353,People makes their children to in gutter for toilet,-1
1354,They see rats but they don't have any problems,-1
1355,No lights in toilets.,-1
1356,People don't clean the corners of the gali,-1
1357,24 hr.water so they have no importance of water,-1
1358,No lights in toilets.,-1
1359,Gutter fills up,-1
1360,No lights in toilets.,-1
1361,The garbage bins are so small that they filled up very quickly,-1
1362,Gutters overflowing,-1
1363,Gutter fills up and stinks,-1
1364,Toilets aren't clean . Light isn't there in toilets . Mosquitoes are too much and person responsible for it doesn't coem . Robbery happens alot .,-1
1365,For khar no bus available from this area so for 15mins distance they have to waste 1.00 hr.extra.,-1
1366,No lights in toilets.,-1
1367,Dust from neighbouring construction sites is a problem,-1
1368,Toilet doesn't get clean,-1
1369,Garbage workers don't come . Rats are too much because of the dranage problem . The person responsible for mosquitoes doesn't come monthly .,-1
1370,Cockroaches are also found,-1
1371,No lights in toilets. During rainy season the street becomes too difficult to walk in. No garbage collector comes to their area.,-1
1372,No lights inside the galli,-1
1373,Mosquito spray needed,-1
1374,No assigned garbage collector here. No lights in toilets.,-1
1375,Drainage problem,-1
1376,No lights in toilets.,-1
1377,Waste water problem,-1
1378,Rats problem,-1
1379,No lights in toilets.,-1
1380,Gutter,-1
1381,No lights in toilets.,-1
1382,Covers of the gutters are not covered,-1
1383,"No lights in toilets. 
",-1
1384,Don't have garbage bins,-1
1385,Lizards,-1
1386,Don't have garbage bins and toilet is not clean,-1
1387,"Ladies toilet is apparently  not cleaned, only the mens toilets are cleaned.",-1
1388,No lights in toilets,-1
1389,Lots of water wastage exists.,-1
1390,"Because of the nearby nala, there's a lot of mosquitoes",-1
1391,Garbage worker doesn't come . Mosquitoes and rats are too much,-1
1392,No clean toilets. No dhooawala comes. A lot robery happens here.,-1
1393,No dhooawala comes. The toilets get full and no one comes to clean the toilets.,-1
1394,Cockroaches,-1
1395,Mosquitoes are too much and worker responsible doesn't come daily .,-1
1396,The toilets get full and no one comes to clean it. A lot of mosquitoes and no dhooawala comes.,-1
1397,They see rats and mosquitoes but that doesn't  matter much to them,-1
1398,Bedbugs is a very big problem.,-1
1399,"Water supply should be cut for some more time, as a lot of it is wasted.",0
1400,"Fumigation doesn't help, due to the Nala nearby.",-1
1401,Water purification for drinking,-1
1402,The toilet gets full and bmc does not come to clean it. No dhooawala comes in that area. The garbage is thrown in the gallis.,-1
1403,No street lights. Toilets get full and bmc doesnt clean it. A lot of mosquitoes. No dhooawala.,-1
1404,No street light facilities. Toilets get full easily. No dhooawala l's come to the area.,-1
1405,Somewhere  language  problem,0
1406,Drainage problem,-1
1407,Rats come due to construction problems as well . Mosquitoes worker doesn't come .,-1
1408,Impure water problem,-1
1409,Bedbugs,-1
1410,CCTV is required . Malaba is the main problem . Toilets aren't clean at all .,-1
1411,Garbage tank is always full,-1
1412,They have to go toilets that ask for pay. Dhooawala does not come in this area.,-1
1413,"Too much garbage. People only cause most of it. There is no toilet, only one paid toilet. ",-1
1414,Drainage problem,-1
1415,The garbage worker doesn't take the garbage from every houses . Malaba is the Mai problem leading to breathing problems . Toilets aren't clean and they are very far . CCTV is must . mosquitoes workers doesn't come monthly .b,-1
1416,There is so open space so people through the garbage in empty house,-1
1417,Bedbugs,-1
1418,Bedbugs,-1
1419,"Street light needed 
Screening for mosquitoes is needed ",-1
1420,Bed bug problem,-1
1421,Sewage water has been leaking into drinking water pipe line,-1
1422,"Drainage problem, impure water.",-1
1423,Toilet is not clean,-1
1424,Malaba has created many problems as no space is there . Public toilets are not clean at all . Garbage and mosquitoes workers aren't regular . CCTV is must .,-1
1425,Bed bugs are increased,-1
1426,Pay and use toilet,0
1427,Bedbugs,-1
1428,Stones and sand comes to galli in rainy season,-1
